method,x_offset,invariant,initial_direction,real,imag
reference,-0.24,s1*s2,0,-82.0766995955752,-27.29381680437438
reference,-0.24,s1*s2,1,37.61166351136669,2.499122220104449
reference,-0.24,s2*s3,0,2.599815882496543,8.34640475885629
reference,-0.24,s2*s3,1,-2.706282245763406,-2.788219584088726
reference,-0.24,s3*s4,0,0.8977144105028185,-0.2994320017134879
reference,-0.24,s3*s4,1,-0.35127643933848735,0.14623201465254332
reference,-0.24,s1*s4,0,-8.761857119198744,-14.629431082426185
reference,-0.24,s1*s4,1,5.2466882389583915,6.683208337143771
reference,-0.22499999999999998,s1*s2,0,-82.07669959557877,-27.29381680437449
reference,-0.22499999999999998,s1*s2,1,37.611663511368306,2.499122220104222
reference,-0.22499999999999998,s2*s3,0,2.5998158824934623,8.346404758854732
reference,-0.22499999999999998,s2*s3,1,-2.706282245761804,-2.7882195840884365
reference,-0.22499999999999998,s3*s4,0,0.8977144105030149,-0.2994320017132419
reference,-0.22499999999999998,s3*s4,1,-0.35127643933859704,0.14623201465241306
reference,-0.22499999999999998,s1*s4,0,-8.761857119206537,-14.62943108242693
reference,-0.22499999999999998,s1*s4,1,5.246688238962145,6.683208337143586
reference,-0.21,s1*s2,0,-82.07669959557991,-27.29381680437403
reference,-0.21,s1*s2,1,37.61166351136848,2.4991222201038212
reference,-0.21,s2*s3,0,2.5998158824961193,8.34640475885217
reference,-0.21,s2*s3,1,-2.7062822457625355,-2.788219584087038
reference,-0.21,s3*s4,0,0.8977144105024953,-0.299432001713378
reference,-0.21,s3*s4,1,-0.3512764393383417,0.1462320146524053
reference,-0.21,s1*s4,0,-8.761857119203787,-14.629431082435453
reference,-0.21,s1*s4,1,5.246688238961796,6.683208337147411
reference,-0.195,s1*s2,0,-82.07669959557822,-27.29381680437441
reference,-0.195,s1*s2,1,37.6116635113676,2.4991222201042014
reference,-0.195,s2*s3,0,2.5998158824932753,8.346404758852607
reference,-0.195,s2*s3,1,-2.7062822457614817,-2.788219584087715
reference,-0.195,s3*s4,0,0.8977144105026269,-0.29943200171293016
reference,-0.195,s3*s4,1,-0.351276439338504,0.14623201465224525
reference,-0.195,s1*s4,0,-8.761857119210026,-14.629431082432626
reference,-0.195,s1*s4,1,5.246688238963918,6.683208337145202
reference,-0.18,s1*s2,0,-82.07669959557673,-27.293816804372597
reference,-0.18,s1*s2,1,37.611663511366814,2.499122220103618
reference,-0.18,s2*s3,0,2.599815882492666,8.34640475885493
reference,-0.18,s2*s3,1,-2.7062822457615208,-2.7882195840886594
reference,-0.18,s3*s4,0,0.8977144105027484,-0.2994320017130791
reference,-0.18,s3*s4,1,-0.35127643933852365,0.14623201465232039
reference,-0.18,s1*s4,0,-8.761857119208088,-14.629431082426366
reference,-0.18,s1*s4,1,5.246688238962617,6.683208337142863
reference,-0.16499999999999998,s1*s2,0,-82.0766995955786,-27.293816804372213
reference,-0.16499999999999998,s1*s2,1,37.61166351136782,2.4991222201033625
reference,-0.16499999999999998,s2*s3,0,2.5998158824944997,8.346404758854508
reference,-0.16499999999999998,s2*s3,1,-2.7062822457621785,-2.788219584088042
reference,-0.16499999999999998,s3*s4,0,0.8977144105029548,-0.2994320017131249
reference,-0.16499999999999998,s3*s4,1,-0.3512764393385497,0.14623201465233085
reference,-0.16499999999999998,s1*s4,0,-8.761857119205835,-14.629431082427983
reference,-0.16499999999999998,s1*s4,1,5.246688238962136,6.683208337144358
reference,-0.15,s1*s2,0,-82.07669959557708,-27.29381680436755
reference,-0.15,s1*s2,1,37.611663511366885,2.4991222201016523
reference,-0.15,s2*s3,0,2.5998158824920496,8.346404758856897
reference,-0.15,s2*s3,1,-2.7062822457617113,-2.788219584089548
reference,-0.15,s3*s4,0,0.8977144105032139,-0.29943200171291073
reference,-0.15,s3*s4,1,-0.35127643933870245,0.1462320146523489
reference,-0.15,s1*s4,0,-8.76185711920975,-14.629431082418954
reference,-0.15,s1*s4,1,5.2466882389622596,6.683208337139943
reference,-0.135,s1*s2,0,-82.07669959557849,-27.293816804372558
reference,-0.135,s1*s2,1,37.61166351136733,2.4991222201034686
reference,-0.135,s2*s3,0,2.5998158824950064,8.346404758854497
reference,-0.135,s2*s3,1,-2.7062822457625493,-2.7882195840881123
reference,-0.135,s3*s4,0,0.8977144105027727,-0.29943200171327417
reference,-0.135,s3*s4,1,-0.3512764393384687,0.14623201465241709
reference,-0.135,s1*s4,0,-8.761857119204882,-14.629431082429013
reference,-0.135,s1*s4,1,5.246688238961288,6.683208337144599
reference,-0.12,s1*s2,0,-82.07669959557255,-27.293816804369712
reference,-0.12,s1*s2,1,37.61166351136499,2.4991222201030308
reference,-0.12,s2*s3,0,2.599815882494085,8.346404758856162
reference,-0.12,s2*s3,1,-2.7062822457623987,-2.788219584088834
reference,-0.12,s3*s4,0,0.897714410503096,-0.2994320017129419
reference,-0.12,s3*s4,1,-0.3512764393386247,0.14623201465232102
reference,-0.12,s1*s4,0,-8.761857119204919,-14.62943108242203
reference,-0.12,s1*s4,1,5.246688238960612,6.683208337141838
reference,-0.10499999999999998,s1*s2,0,-82.07669959557555,-27.293816804374313
reference,-0.10499999999999998,s1*s2,1,37.61166351136691,2.49912222010447
reference,-0.10499999999999998,s2*s3,0,2.5998158824961535,8.346404758854133
reference,-0.10499999999999998,s2*s3,1,-2.70628224576283,-2.788219584087838
reference,-0.10499999999999998,s3*s4,0,0.8977144105026239,-0.29943200171337503
reference,-0.10499999999999998,s3*s4,1,-0.35127643933841557,0.14623201465241384
reference,-0.10499999999999998,s1*s4,0,-8.761857119201178,-14.629431082431145
reference,-0.10499999999999998,s1*s4,1,5.246688238960338,6.683208337145748
reference,-0.09,s1*s2,0,-82.07669959558349,-27.293816804376014
reference,-0.09,s1*s2,1,37.61166351136996,2.4991222201042333
reference,-0.09,s2*s3,0,2.5998158824955655,8.346404758854106
reference,-0.09,s2*s3,1,-2.7062822457624995,-2.7882195840878055
reference,-0.09,s3*s4,0,0.8977144105028939,-0.2994320017132527
reference,-0.09,s3*s4,1,-0.3512764393385127,0.14623201465238808
reference,-0.09,s1*s4,0,-8.761857119204828,-14.629431082431605
reference,-0.09,s1*s4,1,5.246688238962044,6.683208337145728
reference,-0.07500000000000001,s1*s2,0,-82.076699595581,-27.29381680437333
reference,-0.07500000000000001,s1*s2,1,37.611663511368626,2.499122220103416
reference,-0.07500000000000001,s2*s3,0,2.599815882495479,8.346404758854483
reference,-0.07500000000000001,s2*s3,1,-2.7062822457627362,-2.7882195840879898
reference,-0.07500000000000001,s3*s4,0,0.8977144105028873,-0.29943200171313866
reference,-0.07500000000000001,s3*s4,1,-0.35127643933850705,0.14623201465239125
reference,-0.07500000000000001,s1*s4,0,-8.76185711920447,-14.629431082429228
reference,-0.07500000000000001,s1*s4,1,5.246688238961014,6.683208337144822
reference,-0.06,s1*s2,0,-82.0766995955759,-27.293816804372472
reference,-0.06,s1*s2,1,37.61166351136656,2.499122220103754
reference,-0.06,s2*s3,0,2.599815882497558,8.346404758854474
reference,-0.06,s2*s3,1,-2.7062822457634677,-2.788219584087849
reference,-0.06,s3*s4,0,0.8977144105027657,-0.29943200171350265
reference,-0.06,s3*s4,1,-0.3512764393384317,0.14623201465252925
reference,-0.06,s1*s4,0,-8.761857119198384,-14.629431082430285
reference,-0.06,s1*s4,1,5.246688238958585,6.6832083371456115
reference,-0.044999999999999984,s1*s2,0,-82.07669959557936,-27.29381680436932
reference,-0.044999999999999984,s1*s2,1,37.611663511367645,2.499122220102085
reference,-0.044999999999999984,s2*s3,0,2.5998158824918614,8.346404758855453
reference,-0.044999999999999984,s2*s3,1,-2.706282245761258,-2.7882195840887665
reference,-0.044999999999999984,s3*s4,0,0.8977144105031305,-0.2994320017126837
reference,-0.044999999999999984,s3*s4,1,-0.3512764393386766,0.146232014652148
reference,-0.044999999999999984,s1*s4,0,-8.761857119212266,-14.629431082422748
reference,-0.044999999999999984,s1*s4,1,5.246688238964401,6.68320833714142
reference,-0.03,s1*s2,0,-82.07669959557174,-27.29381680437066
reference,-0.03,s1*s2,1,37.611663511365,2.499122220103824
reference,-0.03,s2*s3,0,2.5998158824933384,8.346404758850472
reference,-0.03,s2*s3,1,-2.706282245761417,-2.788219584087034
reference,-0.03,s3*s4,0,0.8977144105024474,-0.2994320017126673
reference,-0.03,s3*s4,1,-0.3512764393384655,0.1462320146521845
reference,-0.03,s1*s4,0,-8.761857119211822,-14.629431082433978
reference,-0.03,s1*s4,1,5.246688238963997,6.683208337145552
reference,-0.015000000000000013,s1*s2,0,-82.07669959557526,-27.2938168043663
reference,-0.015000000000000013,s1*s2,1,37.611663511365514,2.4991222201013557
reference,-0.015000000000000013,s2*s3,0,2.5998158824952036,8.346404758854254
reference,-0.015000000000000013,s2*s3,1,-2.706282245762474,-2.788219584087994
reference,-0.015000000000000013,s3*s4,0,0.8977144105025979,-0.29943200171355655
reference,-0.015000000000000013,s3*s4,1,-0.35127643933839164,0.14623201465246316
reference,-0.015000000000000013,s1*s4,0,-8.76185711920344,-14.629431082427562
reference,-0.015000000000000013,s1*s4,1,5.246688238960945,6.683208337144004
reference,0.0,s1*s2,0,-82.07669959558174,-27.293816804371623
reference,0.0,s1*s2,1,37.61166351136896,2.4991222201025605
reference,0.0,s2*s3,0,2.5998158824913533,8.34640475885444
reference,0.0,s2*s3,1,-2.7062822457607485,-2.78821958408819
reference,0.0,s3*s4,0,0.8977144105033106,-0.2994320017127473
reference,0.0,s3*s4,1,-0.3512764393386959,0.14623201465210725
reference,0.0,s1*s4,0,-8.761857119213904,-14.629431082424308
reference,0.0,s1*s4,1,5.246688238966067,6.683208337142396
reference,0.015000000000000013,s1*s2,0,-82.07669959558596,-27.29381680437176
reference,0.015000000000000013,s1*s2,1,37.61166351137003,2.4991222201021626
reference,0.015000000000000013,s2*s3,0,2.599815882492213,8.346404758851657
reference,0.015000000000000013,s2*s3,1,-2.70628224576117,-2.7882195840875745
