arxiv_id,title,authors,category,submitted_date,status,note_path,error_msg
2607.13935,Backpropagation for Effectful Languages I: Finite Probability and Discrete Output Algebraic Effects,Diogo Simm; Fernando Lucatelli Nunes; Matthijs Vákár,cs.PL,2026-07-15,success,D:\obsidian\qkwang\arxiv\2607.13935.md,
2607.14120,A Proof of Coherent Duality via Techniques from Condensed Mathematics,Cedric Brendel,math.CT,2026-06-12,success,D:\obsidian\qkwang\arxiv\A_Proof_of_Coherent_Duality_via_Condensed_Mathematics.md,
2607.14129,In Memoriam: Professor Dr. Winfried Bruns (1946--2026),Peyman Nasehpour,math.HO,2026-06-24,success,D:\obsidian\qkwang\arxiv\In_Memoriam_Professor_Dr_Winfried_Bruns.md,
2607.14184,A memorial tribute: Adriano Garsia (1928--2024),Hélène Barcelo; François Bergeron; Nantel Bergeron; Sara Billey; Anders Björner; Tullio Ceccherini-Silberstein; Michele D'Adderio; Mark Haiman; Angela Hicks; Luc Lapointe; Jennifer Morse; Arun Ram; Marino Romero; Emily Sergel; Michelle Wachs; Guoce Xin; Mike Zabrocki,math.HO,2026-07-15,success,D:\obsidian\qkwang\arxiv\A_memorial_tribute_Adriano_Garsia.md,
2607.14299,Koszul Duality for Coherent Sheaves,A. M. Bouhada,math.RT,2026-07-15,success,D:\obsidian\qkwang\arxiv\Koszul_Duality_for_Coherent_Sheaves.md,
2607.14453,Simply Typed Reverse-Mode AD with Variants: Denotational Correctness via Idempotent Completion,Fernando Lucatelli Nunes; Diogo Simm; Matthijs Vákár,math.CT,2026-07-16,success,D:\obsidian\qkwang\arxiv\Simply_Typed_Reverse-Mode_AD_with_Variants.md,
2607.14634,Cluster structures on SL_n/SO_n,Jeff York Ye,math.RT,2026-07-16,success,D:\obsidian\qkwang\arxiv\Cluster_structures_on_SL_n_SO_n.md,
2607.14692,"Twisted Yangians of types BI, CI, DI and Drinfeld type current relations",Vidas Regelskis,math.RT,2026-07-16,success,D:\obsidian\qkwang\arxiv\Twisted_Yangians_of_types_BI_CI_DI.md,
2607.14773,Higher covering spaces in an ∞-topos,Virgile Constantin,math.CT,2026-07-16,success,D:\obsidian\qkwang\arxiv\Higher_covering_spaces_in_an_infty-topos.md,
2607.14939,A superplethystic formula for superrestriction coefficients,Tirtharaj Basu,math.RT,2026-07-16,success,D:\obsidian\qkwang\arxiv\A_superplethystic_formula_for_superrestriction_coefficients.md,
2607.15091,Comonads as spaces,Aaron David Fairbanks; Kevin Carlson; David I. Spivak,math.CT,2026-07-16,success,D:\obsidian\qkwang\arxiv\Comonads_as_spaces.md,
2607.15107,Learning in Infinitesimal Non-Compositional Sketches,Sridhar Mahadevan,math.CT,2026-07-16,success,D:\obsidian\qkwang\arxiv\Learning_in_Infinitesimal_Non-Compositional_Sketches.md,
2607.15287,Linear representation of groups associated to graphs,Alain Bretto; Alain Faisant; Neda Moradi; Mehrdad Nasernejad,math.RT,2026-06-18,success,D:\obsidian\qkwang\arxiv\2607.15287.md,
2607.15406,Lusztig's special pieces conjecture,Daniel Juteau; Paul Levy; Eric Sommers; Shilin Yu,math.RT,2026-07-16,success,D:\obsidian\qkwang\arxiv\2607.15406.md,
2607.15586,The Telescope Conjecture for Global Representations and FI-modules,Peng Xu,math.CT,2026-07-17,success,D:\obsidian\qkwang\arxiv\2607.15586.md,
2607.15629,A cubical formalisation of topos causal models: intervention sheaf gluing and the intuitionistic do-calculus,Karen Sargsyan,cs.LO,2026-07-17,success,D:\obsidian\qkwang\arxiv\2607.15629.md,
2607.15825,The Mathieu group M_12 vs SL_3(3) in characteristic 3,Shigeo Koshitani; Tetsuro Okuyama,math.RT,2026-07-17,success,D:\obsidian\qkwang\arxiv\2607.15825.md,
2607.15991,Wide subcategories and brick-finiteness for length categories,Francesco Sentieri,math.RT,2026-07-17,success,D:\obsidian\qkwang\arxiv\2607.15991.md,
2607.16114,Parameterized Quantum Circuit Semantics Through Enriched Categories,Neil J. Ross; Scott Wesley,quant-ph,2026-07-17,success,D:\obsidian\qkwang\arxiv\2607.16114.md,
2607.16353,The exceptional series through the fifth tensor power,Bruce Westbury,math.RT,2026-07-21,success,D:\obsidian\qkwang\arxiv\The_exceptional_series_through_the_fifth_tensor_power.md,
2607.16594,Twisted super Yangians of quasi-split type A,Kang Lu,math.RT,2026-07-21,success,D:\obsidian\qkwang\arxiv\Twisted_super_Yangians_of_quasi-split_type_A.md,
2607.16626,Tensor Powers of Indecomposable Modules for FS_p,Manzu Kua; Kay Jin Lim,math.RT,2026-07-21,success,D:\obsidian\qkwang\arxiv\Tensor_Powers_of_Indecomposable_Modules_for_FS_p.md,
