method,tolerance,seconds,solution_error_vs_dop853,monodromy_variation_drift,wronskian_drift,variation_error_vs_dop853
RK45,0.001,0.0009100830066017807,4.0252932678423344e-05,8.098766160728076e-05,3.6829751345965285e-05,8.098765945657615e-05
RK45,1e-06,0.0012257499620318413,3.651206095444322e-07,7.5158350087856e-07,3.4844079283966744e-07,7.515813373280191e-07
RK45,1e-09,0.002603874949272722,1.2119873533617837e-09,2.711366319240571e-09,1.0232766630676508e-09,2.7135722538578265e-09
contour,1e-08,0.377355083997827,0.001028219255066835,0.007255309554741419,0.007611163144059661,0.007255309556392473
contour,1e-10,0.4457041670102626,1.1271535200685495e-05,0.00010401043033091932,0.00010813218724527187,0.00010401043200582048
contour,3e-13,0.6939590410329401,6.241870251168407e-07,1.3451879181284115e-06,1.2117059626664354e-06,1.3451884538622001e-06
